L_m,CV,sigma_log,N_eff_simple,N_eff_Acorr_log,N_eff_Acorr_lognormal,N_eff_logfield,N_eff_lognormal,L_hat_m,cv_realized_mean,source_total_sd_kg_s
100.0,0.5,0.47238072707743883,100.0,15.915494309189533,17.331091860990895,20.713924341161412,22.446756349031016,90.46765001923409,0.5152781959709859,3.708994804513593e-18
100.0,1.0,0.8325546111576977,100.0,15.915494309189533,20.940613007195058,20.713924341161412,26.822084361505514,90.46765001923417,1.1135032030016303,4.146782255542969e-18
100.0,2.0,1.2686362411795196,100.0,15.915494309189533,31.325044855666228,20.713924341161412,39.0978295264361,90.46765001923414,2.5266379240890484,4.728059221007267e-18
250.0,0.5,0.47238072707743883,16.0,2.5464790894703255,2.7729746977585426,5.170112392916099,5.55888042629965,146.71235324049783,0.4727885116139039,4.349181921048444e-18
250.0,1.0,0.8325546111576977,16.0,2.5464790894703255,3.3504980811512097,5.170112392916099,6.532237724175007,146.71235324049746,0.9519046662436574,3.708994804513593e-18
250.0,2.0,1.2686362411795196,16.0,2.5464790894703255,5.012007176906597,5.170112392916099,9.215997333756238,146.71235324049766,1.8628305435628638,2.271286182423036e-18
500.0,0.5,0.47238072707743883,4.0,0.6366197723675814,0.6932436744396356,2.520443781600874,2.672071437505526,179.46661709512728,0.3736388308780716,4.349181921048444e-18
500.0,1.0,0.8325546111576977,4.0,0.6366197723675814,0.8376245202878024,2.520443781600874,3.045686789392893,179.46661712279476,0.6773602647829667,3.469446951953614e-18
500.0,2.0,1.2686362411795196,4.0,0.6366197723675814,1.2530017942266491,2.520443781600874,4.038083660192765,179.46661713027285,1.0906293702294476,5.0787503002538974e-18
