run,L_m,CV,seed,n,geometry,covariance_model,source_dx_m,source_nx,source_ny,domain_area_m2,path_length_total_m,path_length_each_m,Q_true_kg_s,Q_true_recomputed_kg_s,Q_prior_kg_s,Q_hat_kg_s,posterior_sigma_kg_s,e_signed,e_abs,converged,n_iter,method,n_obs,n_state,dof,dfs,prior_influence,ak_diag,chi2,chi2_per_dof,sigma_repr_mean_ng_m3,inverse_crime_flag,total_only,inversion_template,n_fine_cells,state_units,obs_units,jacobian_units,nature_run,E_Q_reported
source_heterogeneity_les_rice_paddy_l250_cv0p5_s2_wind3_n1_op,250.0,0.5,2,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778000000000008,0.0,0.025793764989541675,0.010876612596965455,-0.07143188892138837,0.07143188892138837,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,7.871693539512258e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l250_cv0p5_s2_wind3_surface,0.0714318889213886
source_heterogeneity_les_rice_paddy_l250_cv0p5_s3_wind3_n1_op,250.0,0.5,3,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778000000000004,0.0,0.025100893653494324,0.010876612596965455,-0.09637505747374457,0.09637505747374457,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,7.454475093210148e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l250_cv0p5_s3_wind3_surface,0.09637505747374468
source_heterogeneity_les_rice_paddy_l250_cv0p5_s4_wind3_n1_op,250.0,0.5,4,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027777999999999997,0.0,0.027962561721027818,0.010876612596965455,0.006644168803650985,0.006644168803650985,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,9.251083737111e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l250_cv0p5_s4_wind3_surface,0.006644168803651111
source_heterogeneity_les_rice_paddy_l250_cv0p5_s5_wind3_n1_op,250.0,0.5,5,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778000000000004,0.0,0.026112700050851312,0.010876612596965455,-0.05995031856680426,0.05995031856680426,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,8.067561056977687e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l250_cv0p5_s5_wind3_surface,0.05995031856680438
source_heterogeneity_les_rice_paddy_l250_cv0p5_s6_wind3_n1_op,250.0,0.5,6,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027777999999999997,0.0,0.026807952973179894,0.010876612596965455,-0.03492141359421509,0.03492141359421509,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,8.50287915021729e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l250_cv0p5_s6_wind3_surface,0.03492141359421497
source_heterogeneity_les_rice_paddy_l250_cv0p5_s7_wind3_n1_op,250.0,0.5,7,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778000000000004,0.0,0.02847871115200154,0.010876612596965455,0.025225399668858072,0.025225399668858072,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,9.595759664634971e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l250_cv0p5_s7_wind3_surface,0.025225399668857944
source_heterogeneity_les_rice_paddy_l500_cv0p5_s0_wind3_n1_op,500.0,0.5,0,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778000000000004,0.0,0.026982536234099987,0.010876612596965455,-0.028636466480668633,0.028636466480668633,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,8.61398752517463e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l500_cv0p5_s0_wind3_surface,0.028636466480668754
source_heterogeneity_les_rice_paddy_l500_cv0p5_s1_wind3_n1_op,500.0,0.5,1,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778,0.0,0.03143555470969984,0.010876612596965455,0.1316709161818647,0.1316709161818647,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,1.1691788678903043e-07,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l500_cv0p5_s1_wind3_surface,0.1316709161818647
source_heterogeneity_les_rice_paddy_l500_cv0p5_s2_wind3_n1_op,500.0,0.5,2,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027777999999999997,0.0,0.03117469858547385,0.010876612596965455,0.12228017083569191,0.12228017083569191,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,1.1498553942653189e-07,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l500_cv0p5_s2_wind3_surface,0.12228017083569205
source_heterogeneity_les_rice_paddy_l500_cv0p5_s3_wind3_n1_op,500.0,0.5,3,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778000000000004,0.0,0.028091657829053367,0.010876612596965455,0.011291591513189073,0.011291591513189073,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,9.336700767468746e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l500_cv0p5_s3_wind3_surface,0.011291591513188946
source_heterogeneity_les_rice_paddy_l500_cv0p5_s4_wind3_n1_op,500.0,0.5,4,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778,0.0,0.025197840450275667,0.010876612596965455,-0.09288500071007035,0.09288500071007035,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,7.512168903160138e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l500_cv0p5_s4_wind3_surface,0.09288500071007035
source_heterogeneity_les_rice_paddy_l500_cv0p5_s5_wind3_n1_op,500.0,0.5,5,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027777999999999997,0.0,0.026190870628101052,0.010876612596965455,-0.057136200298759765,0.057136200298759765,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,8.115935208234858e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l500_cv0p5_s5_wind3_surface,0.05713620029875965
source_heterogeneity_les_rice_paddy_l500_cv0p5_s6_wind3_n1_op,500.0,0.5,6,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778000000000004,0.0,0.028826113115898742,0.010876612596965455,0.03773177031819216,0.03773177031819216,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,9.831298300198666e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l500_cv0p5_s6_wind3_surface,0.037731770318192026
