L_m,CV,seed,cv_real_seed,logvar_real_seed
100.0,0.5,0,0.524553751443168,0.26669374494954323
100.0,0.5,1,0.39284166662341025,0.16064963862407214
100.0,0.5,2,0.6022640049404416,0.2461811068263868
100.0,0.5,3,0.4745850974911029,0.2170342742569356
100.0,0.5,4,0.5388528006943782,0.21285592080231308
100.0,0.5,5,0.5822237711999987,0.27231566836122395
100.0,0.5,6,0.48142684736579633,0.22963628069810693
100.0,0.5,7,0.5254776280095913,0.20822018550456042
100.0,1.0,0,1.0140078901395881,0.8284264380306886
100.0,1.0,1,0.70109057171078,0.49902335700237943
100.0,1.0,2,1.3471617609187194,0.7647083641846224
100.0,1.0,3,0.894960421432495,0.6741700326989867
100.0,1.0,4,1.2320412823677478,0.661190881388554
100.0,1.0,5,1.661716011346499,0.8458897271966991
100.0,1.0,6,0.9085127414542096,0.7133154401402991
100.0,1.0,7,1.1485349446430029,0.646790972305208
100.0,2.0,0,1.884655115946416,1.9235466210109204
100.0,2.0,1,1.107965876406452,1.158696352628831
100.0,2.0,2,2.79141499901203,1.7755978351956314
100.0,2.0,3,1.5716335690942351,1.565374339654909
100.0,2.0,4,2.799444126601966,1.535237683579421
100.0,2.0,5,5.9625029871490005,1.9640951227546226
100.0,2.0,6,1.6254108087772996,1.6562671609787052
100.0,2.0,7,2.4700759097249887,1.5018021301149769
250.0,0.5,0,0.5283348358063747,0.2771609961825845
250.0,0.5,1,0.3269231961501063,0.11151766957397972
250.0,0.5,2,0.5792593274825644,0.22033587305418004
250.0,0.5,3,0.43920532191413675,0.1891192385990238
250.0,0.5,4,0.43538319514577634,0.15976276336200343
250.0,0.5,5,0.5995668669401758,0.2644210756989518
250.0,0.5,6,0.40991201523459786,0.1936866671720171
250.0,0.5,7,0.4637233342374989,0.19065499459374255
250.0,1.0,0,0.9963909000011478,0.8609406901238578
250.0,1.0,1,0.5772221461488728,0.3464055214348349
250.0,1.0,2,1.2545568822102708,0.6844257352912057
250.0,1.0,3,0.8026339840551932,0.5874580119054029
250.0,1.0,4,0.8805174445738976,0.49626847081458375
250.0,1.0,5,1.4710697170072669,0.8213668825377561
250.0,1.0,6,0.7169223932647594,0.601645740921696
250.0,1.0,7,0.9159238626878508,0.5922285057489306
250.0,2.0,0,1.72040080907491,1.9990423764302991
250.0,2.0,1,0.8973845064253193,0.8043287124436495
250.0,2.0,2,2.4314032218934787,1.5891873436365913
250.0,2.0,3,1.3015113118966235,1.3640352624098298
250.0,2.0,4,1.687527411106464,1.1522997049911707
250.0,2.0,5,4.01996175812463,1.9071548407744638
250.0,2.0,6,1.1399260684645964,1.3969781490154092
250.0,2.0,7,1.7045292615168892,1.375112006091604
500.0,0.5,0,0.44474110005872936,0.1741695681041746
500.0,0.5,1,0.32606942472917594,0.11022831750848158
500.0,0.5,2,0.32571327383188386,0.10596968220125305
500.0,0.5,3,0.34756443185034774,0.13208303481753597
500.0,0.5,4,0.4076056087647728,0.12811476142876996
500.0,0.5,5,0.3718988125576523,0.13087832483117973
500.0,0.5,6,0.4287841849193259,0.22289335233606034
500.0,0.5,7,0.3367338103126844,0.11433779662585389
500.0,1.0,0,0.8331043365174503,0.54102009361069
500.0,1.0,1,0.5768792047047253,0.3424004279306586
500.0,1.0,2,0.5892327664942115,0.32917189835220595
500.0,1.0,3,0.6058828422079683,0.4102873805161746
500.0,1.0,4,0.8049409526726937,0.39796079746189444
500.0,1.0,5,0.6988353738275037,0.40654520933602484
500.0,1.0,6,0.7147018970306701,0.6923699915459556
500.0,1.0,7,0.5953047448085111,0.3551656359977575
500.0,2.0,0,1.3917994288080064,1.2562097551123124
500.0,2.0,1,0.8967547412109619,0.7950291732041919
500.0,2.0,2,0.9498046778274631,0.7643134786866008
500.0,2.0,3,0.9330602623278754,0.9526577956975886
500.0,2.0,4,1.3843289757539092,0.9240363561696575
500.0,2.0,5,1.2188401841369703,0.943968743196344
500.0,2.0,6,1.0344395947932299,1.6076333354265298
500.0,2.0,7,0.9160070969771641,0.8246690684454592
