run,Q_pred_no_transport_error_kg_s,e_pure_representativeness,e_transport
source_heterogeneity_les_rice_paddy_l500_cv1p0_s1_wind3_n1_op,0.034906232280646966,0.2566143091888172,-0.03616346393134992
source_heterogeneity_les_rice_paddy_l500_cv1p0_s2_wind3_n1_op,0.0330279396780888,0.18899631644066522,0.011678467336154269
source_heterogeneity_les_rice_paddy_l500_cv1p0_s3_wind3_n1_op,0.026084116087373155,-0.06097933301990229,0.0640352479558006
source_heterogeneity_les_rice_paddy_l500_cv1p0_s4_wind3_n1_op,0.022484597257034236,-0.19056097425897345,0.004291210877324647
source_heterogeneity_les_rice_paddy_l500_cv1p0_s5_wind3_n1_op,0.02316102502785904,-0.16620976931892004,0.05145034882836494
source_heterogeneity_les_rice_paddy_l500_cv1p0_s6_wind3_n1_op,0.02961538986859634,0.06614550610541936,-0.03229604013937806
source_heterogeneity_les_rice_paddy_l500_cv1p0_s7_wind3_n1_op,0.04015627489019866,0.44561433113250254,-0.02627616040666303
source_heterogeneity_les_rice_paddy_l100_cv2p0_s0_wind3_n1_op,0.025125156789130104,-0.09550159157858364,-0.0022396798783438643
source_heterogeneity_les_rice_paddy_l100_cv2p0_s1_wind3_n1_op,0.029556059986323956,0.06400964743048293,0.021313015218500167
source_heterogeneity_les_rice_paddy_l100_cv2p0_s2_wind3_n1_op,0.022929775245507173,-0.17453469488418272,0.01661028223280342
source_heterogeneity_les_rice_paddy_l100_cv2p0_s3_wind3_n1_op,0.023837440246166353,-0.1418590162658812,-0.0044022816591964
source_heterogeneity_les_rice_paddy_l100_cv2p0_s4_wind3_n1_op,0.029583449247551505,0.06499565294663058,0.04616243059692722
source_heterogeneity_les_rice_paddy_l100_cv2p0_s5_wind3_n1_op,0.016870608398704374,-0.3926629563429918,0.04495064002187532
source_heterogeneity_les_rice_paddy_l100_cv2p0_s6_wind3_n1_op,0.022144767937327642,-0.20279473189834973,0.08593154913091944
source_heterogeneity_les_rice_paddy_l100_cv2p0_s7_wind3_n1_op,0.026607917921440682,-0.04212261784719268,0.06057069326584008
source_heterogeneity_les_rice_paddy_l250_cv2p0_s0_wind3_n1_op,0.024733835923780288,-0.10958903003166942,-0.001555362746581579
source_heterogeneity_les_rice_paddy_l250_cv2p0_s1_wind3_n1_op,0.030909512440618205,0.11273354599388741,0.01809695678431028
source_heterogeneity_les_rice_paddy_l250_cv2p0_s2_wind3_n1_op,0.021561763967678654,-0.22378270690191326,0.04181207238301188
source_heterogeneity_les_rice_paddy_l250_cv2p0_s3_wind3_n1_op,0.020975638938208443,-0.24488303916018278,-0.012698172691080312
source_heterogeneity_les_rice_paddy_l250_cv2p0_s4_wind3_n1_op,0.026571682876115353,-0.043427069043294964,0.055723007553587264
