geometry,n,CV,L_m,m_realizations,bias,bias_se,bias_p,MAE,RMSE,sigma_rep,sigma_rep_lo,sigma_rep_hi,sigma_rep_chi2_lo,sigma_rep_chi2_hi,bias_pure,sigma_rep_pure,RMSE_pure,sd_pred_loglinear,sampler
open_path,1,0.5,100.0,20,0.013356260909184906,0.01393432338927829,0.3498422489192844,0.04821373847271644,0.062189482257830324,0.06231618863778304,0.04135910349525513,0.07752464045483477,0.047390862870282456,0.09101725759540068,-0.007630459298312696,0.06786589358091291,0.06658614304089264,0.08250242573892148,circulant
open_path,1,0.5,150.0,20,0.014369015129849338,0.01727622690073792,0.41589717753517613,0.060140008037732326,0.0766639478398528,0.077261635489521,0.053581184254764457,0.0955881671377404,0.05875673163999684,0.11284615335617641,-0.005828718472842014,0.08536017445124035,0.08340273000486571,0.10085492001134981,circulant
open_path,1,0.5,200.0,20,0.015040621296101536,0.01930712285612523,0.44556330684557005,0.06777016308868858,0.08549125777306994,0.08634407831247182,0.05820313603227418,0.10636734201216315,0.06566384216390124,0.12611171173005295,-0.004535205790661839,0.09643377509085146,0.09410136779517571,0.11231552548037013,circulant
open_path,1,0.5,250.0,20,0.01546469210370835,0.020468787606656803,0.4591983141283706,0.07213331190261643,0.09055170212372939,0.09153920101097969,0.06218630258424775,0.11414745496434742,0.06961468307348158,0.13369956058965268,-0.0037035033186997046,0.10295151311040779,0.1004130434055654,0.11929653220825472,circulant
open_path,1,0.5,300.0,20,0.015787107184659012,0.021068487572908884,0.46283969676853326,0.07461450664122848,0.0931824820277203,0.09422114079226765,0.0642790123963747,0.11680943195187174,0.07165427251532223,0.13761672576398165,-0.003151935326015243,0.10644975368330825,0.10380225071054351,0.12336972248078078,circulant
open_path,1,0.5,400.0,20,0.002469354892545862,0.022904889042010417,0.9152774676811601,0.08003313919698014,0.09987062937668266,0.10243377783005066,0.0733426724843326,0.12582866216026112,0.07789990409467396,0.14961187047910968,-0.014167183545130645,0.11622230360403644,0.11416195404721663,0.1264600275841746,cholesky
open_path,1,0.5,500.0,20,0.005543074810586507,0.023900733395003586,0.8190791890683392,0.08374983354401935,0.10432824046209882,0.10688732916665471,0.07520664877156995,0.13162886267606397,0.08128678710681632,0.1561166012413544,-0.010037135584440606,0.12140476294846404,0.11875565137703784,0.12606260525836654,cholesky
open_path,1,0.75,100.0,20,0.01072371341633913,0.01957188279664143,0.5901305380106172,0.0670339061010133,0.08598320392576494,0.08752812076189787,0.05829148876313298,0.10895403466217383,0.06656429507316856,0.12784109054764575,-0.012086656154831692,0.09330416215455166,0.09174132437783888,0.11667604940866187,circulant
open_path,1,0.75,150.0,20,0.012314708930461592,0.024209857472728694,0.6168427469292737,0.08462381514414283,0.10624442966193054,0.10826977406920525,0.07318478776663691,0.13404507447034772,0.0823381231758963,0.15813576105451732,-0.009388582606715446,0.11745798975781871,0.11486821089149765,0.14263039571210456,circulant
open_path,1,0.75,200.0,20,0.013332398704646147,0.02704829497277244,0.6277238287070652,0.09507374098126874,0.1186522136875991,0.12096365246917,0.08060648028448804,0.14853556948045343,0.09199169576586097,0.17667607979785224,-0.0073827040293348994,0.13298519170883547,0.12982801112213302,0.15883813939940036,circulant
