geometry,n,CV,L_m,m_realizations,bias,bias_se,bias_p,MAE,RMSE,sigma_rep,sigma_rep_lo,sigma_rep_hi,sigma_rep_chi2_lo,sigma_rep_chi2_hi,bias_pure,sigma_rep_pure,bias_transport,sigma_rep_transport,sigma_reported,R_mean,cover68,cover95,dfs,chi2_per_dof,prior_influence,ak_diag,sigma_log,N_eff_simple,N_eff_Acorr_log,N_eff_Acorr_lognormal,N_eff_logfield,N_eff_lognormal,L_hat_m,cv_realized_mean,source_total_sd_kg_s,L_H_m,l_star,H_simple,H_lognormal,H_sigmalog,Pi
open_path,1,0.5,100.0,8,-0.012530316771849362,0.014622308529048717,0.41984921859717944,0.03608861588460294,0.04066561428816397,0.04135813406996896,0.020748196761791085,0.04945229816009566,0.027344929090964205,0.08417505599935221,-0.0329912994833066,0.043766166847775616,0.020460982711457222,0.013953456285770867,0.39155492105138595,0.09216744304400358,1.0,1.0,0.9998816992984156,,0.0001183007015844,0.9998816992984156,0.4723807270774388,100.0,15.915494309189532,17.331091860990895,20.713924341161412,22.446756349031016,90.46765001923409,0.5152781959709859,3.708994804513593e-18,185.49334457984943,0.1,0.05,0.10553419654025298,0.09970464098643605,0.5391029000339844
open_path,1,0.5,250.0,8,-0.01957487528778205,0.019489639788491518,0.348647055571114,0.04609479435125595,0.05515521875696155,0.05512502582930202,0.029942006270349618,0.06805609240084,0.03644724203199444,0.11219442657391426,-0.0413430287685804,0.05456523862292776,0.021768153480798313,0.01902876232448295,0.39155492105138595,0.11772242378536386,1.0,1.0,0.9998816992984156,,0.0001183007015844,0.9998816992984156,0.4723807270774388,16.0,2.5464790894703255,2.7729746977585426,5.170112392916099,5.55888042629965,146.71235324049783,0.4727885116139039,4.349181921048444e-18,185.49334457984943,0.25,0.125,0.2120685847908183,0.20035422454754045,1.347757250084961
open_path,1,0.5,500.0,8,0.04517668191021995,0.03928841271147917,0.2879607366039187,0.08984109878259461,0.11334014382437417,0.1111244122013707,0.05250947044164784,0.14142061304784634,0.07347258865162434,0.22616841475780095,0.03728774696650966,0.12143528105494764,0.007888934943710312,0.02267477540016077,0.39155492105138595,0.22944699185840206,1.0,1.0,0.9998816992984156,,0.0001183007015844,0.9998816992984156,0.4723807270774388,4.0,0.6366197723675814,0.6932436744396356,2.520443781600874,2.672071437505526,179.46661709512728,0.3736388308780716,4.349181921048444e-18,185.49334457984943,0.5,0.25,0.3058764012790317,0.28898023366403885,2.695514500169922
open_path,1,1.0,100.0,8,-0.04023238765864655,0.027918943570854667,0.19276679615753498,0.07355715785336378,0.0841125251523433,0.0789666972900636,0.0422449408850481,0.09526687975237505,0.05221073886677995,0.16071871509555236,-0.06411894219653236,0.07940932165376406,0.023886554537885803,0.022682077618285067,0.39155492105138595,0.18785910711031634,1.0,1.0,0.9998816992984156,,0.0001183007015844,0.9998816992984156,0.8325546111576977,100.0,15.915494309189532,20.940613007195054,20.713924341161412,26.82208436150551,90.46765001923416,1.1135032030016303,4.146782255542969e-18,185.49334457984943,0.1,0.1,0.19308731254729677,0.1607557324172995,0.5391029000339844
open_path,1,1.0,250.0,8,-0.05693167117765818,0.03489939989895266,0.14684592995353643,0.08881766707680464,0.10847576676949612,0.09871040931156216,0.053780373828618805,0.12242121479290657,0.06526477085736537,0.20090254114130926,-0.08324514899732235,0.09204298103403305,0.02631347781966419,0.03135553018450347,0.39155492105138595,0.22683322900990582,1.0,1.0,0.9998816992984156,,0.0001183007015844,0.9998816992984156,0.8325546111576977,16.0,2.5464790894703255,3.3504980811512097,5.170112392916099,6.532237724175007,146.71235324049746,0.9519046662436574,3.708994804513593e-18,185.49334457984943,0.25,0.25,0.39126320608978427,0.32574798640639446,1.347757250084961
open_path,1,1.0,500.0,8,0.06025090049378395,0.07240659345871875,0.4328090621557831,0.1590913946717325,0.2008212499821298,0.2047967729491102,0.09182924297458163,0.2618484501175739,0.13540633203803332,0.4168171562651668,0.060746934968002056,0.22217489182830064,-0.0004960344742181017,0.04070320291794451,0.39155492105138595,0.40630671744476443,0.875,1.0,0.9998816992984156,,0.0001183007015844,0.9998816992984156,0.8325546111576977,4.0,0.6366197723675814,0.8376245202878024,2.520443781600874,3.045686789392893,179.46661712279476,0.6773602647829667,3.469446951953614e-18,185.49334457984943,0.5,0.5,0.5730036391936022,0.47705682202077515,2.695514500169922
open_path,1,2.0,100.0,8,-0.08144670743884287,0.05300852028888701,0.16830098534362617,0.13517891284163994,0.16218165344807003,0.14993073662774678,0.07820696372107468,0.19638710257029285,0.09913032717350642,0.30514984380856486,-0.11505878855500853,0.1508095208194229,0.03361208111616565,0.03144368304349991,0.39155492105138595,0.34523614842756534,1.0,1.0,0.9998816992984156,,0.0001183007015844,0.9998816992984156,1.2686362411795196,100.0,15.915494309189532,31.325044855666228,20.713924341161412,39.0978295264361,90.46765001923414,2.5266379240890484,4.728059221007268e-18,185.49334457984943,0.1,0.2,0.3198553883463036,0.20289006879633506,0.5391029000339844
open_path,1,2.0,250.0,8,-0.1070331344422768,0.057860721495440755,0.1067920086383307,0.15006671312834502,0.1867916848051573,0.16365483413508958,0.08344595800947878,0.21030782823996175,0.10820434566140212,0.33308211643640534,-0.14358032266009718,0.15003663910388906,0.03654718821782039,0.04002950509460781,0.39155492105138595,0.38325840146611495,1.0,1.0,0.9998816992984156,,0.0001183007015844,0.9998816992984156,1.2686362411795196,16.0,2.5464790894703255,5.012007176906597,5.170112392916099,9.215997333756238,146.71235324049766,1.862830543562864,2.271286182423036e-18,185.49334457984943,0.25,0.5,0.6588079411669524,0.4178938150706303,1.347757250084961
open_path,1,2.0,500.0,8,0.0759955533793723,0.11388064950492,0.5259437201954785,0.24527159246791105,0.3107361267298575,0.3221031180434295,0.14717395085481094,0.4099422418857331,0.2129662549082854,0.655567486507062,0.08626734302264642,0.34883084493953087,-0.010271789643274114,0.06367235352171957,0.39155492105138595,0.6264040605320924,0.875,1.0,0.9998816992984156,,0.0001183007015844,0.9998816992984156,1.2686362411795196,4.0,0.6366197723675814,1.2530017942266491,2.520443781600874,4.038083660192765,179.46661713027285,1.0906293702294476,5.078750300253898e-18,185.49334457984943,0.5,1.0,0.9952732679342243,0.6313198687892656,2.695514500169922
open_path,2,0.5,100.0,8,-0.005399862110361987,0.014580558810807642,0.7220762179235756,0.036054546872647114,0.038952629917104006,0.04124004803444539,0.02414118199719628,0.04941200832763169,0.027266853656938043,0.08393471878694023,-0.03562324312617289,0.04285513055556769,0.030223381015810874,0.021950311935918683,0.27747179872795374,0.12993950029493506,1.0,1.0,0.999940592723037,0.6667235358064678,5.940727696296389e-05,0.999940592723037,0.4723807270774388,100.0,15.915494309189532,17.331091860990895,20.713924341161412,22.446756349031016,90.46765001923409,0.5152781959709859,3.708994804513593e-18,169.23647119727153,0.1,0.05,0.10553419654025298,0.09970464098643605,0.5908891818208286
open_path,2,0.5,250.0,8,-0.012906962154632462,0.019173373866913354,0.5224345897303149,0.045278122487255185,0.052344221554476926,0.05423049071807748,0.029669727773155356,0.06801779959281781,0.035855798541230804,0.11037380422781604,-0.04227978621277448,0.055099548690488546,0.02937282405814201,0.030112528572364163,0.27747179872795374,0.16318098882419385,1.0,1.0,0.999940592723037,0.6913209102323827,5.940727696296389e-05,0.999940592723037,0.4723807270774388,16.0,2.5464790894703255,2.7729746977585426,5.170112392916099,5.55888042629965,146.71235324049783,0.4727885116139039,4.349181921048444e-18,169.23647119727153,0.25,0.125,0.2120685847908183,0.20035422454754045,1.4772229545520716
open_path,2,0.5,500.0,8,0.05640213166336667,0.03850310120262447,0.1863734934169359,0.08942158791138699,0.11644149634777347,0.1089032158283507,0.05459324094428275,0.1387307300892967,0.07200399103030558,0.2216476757716512,0.044305459127961674,0.12180939888208195,0.012096672535405011,0.02309947516995508,0.27747179872795374,0.3222727077898827,1.0,1.0,0.999940592723037,1.0603834789223305,5.940727696296389e-05,0.999940592723037,0.4723807270774388,4.0,0.6366197723675814,0.6932436744396356,2.520443781600874,2.672071437505526,179.46661709512728,0.3736388308780716,4.349181921048444e-18,169.23647119727153,0.5,0.25,0.3058764012790317,0.28898023366403885,2.9544459091041433
