geometry,n,variant,form,n_points,alpha,alpha_lo,alpha_hi,beta,beta_lo,beta_hi,r2_log,loco_rmse_log
open_path,1,M3_nom,a·CV^α·(L/√A)^β,9,0.8272128160081195,0.5436761315164819,1.1008904630103447,0.5425301114559711,0.30493953049882494,0.7946246493166976,0.935200442480549,0.2246508921839963
open_path,1,R1,a·CVreal^α·(L/√A)^β,9,0.8030049987840837,0.5202238543654174,1.0750736292942211,0.812318744536183,0.5639742928592446,1.0708803513803855,0.8881471836555389,0.291521553417998
open_path,1,R2,"a·σlog,real^α·(L/√A)^β",9,1.114934555095773,0.6928027107981442,1.5208820729342243,0.7049880506973961,0.4515146214017871,0.9730844497933607,0.897780403322544,0.2837100288462292
open_path,1,R3,"a·CV^α·(L/√A)^β, L≤250",6,0.8569825143629579,0.5371230518593608,1.1563453495562315,0.21757468082174125,-0.1572463490284331,0.6188419759205062,0.9925987035152983,0.10070937924379192
open_path,1,R4,"a·CVreal^α·(L/√A)^β, L≤250",6,0.8029657055990819,0.5197627555637457,1.0959301862011617,0.3775480331306501,-0.007728647266041179,0.7865192042081947,0.9993454095958708,0.024472210705685837
open_path,1,M2_nom,a·CV·L/√A,9,,,,,,,0.6644163313736562,0.39701207321342824
open_path,1,M2_real,a·CVreal·L/√A,9,,,,,,,0.8381529632420784,0.27571200810765717
open_path,2,M3_nom,a·CV^α·(L/√A)^β,9,0.8312626064325104,0.5497590991902827,1.09690595914017,0.5325615320596572,0.28835294801002237,0.7922008168696284,0.9329413691448114,0.22806978769106995
open_path,2,R1,a·CVreal^α·(L/√A)^β,9,0.8067087087374756,0.5201972730811848,1.0721662114686596,0.8035945146111225,0.5384906082499842,1.0573379314612183,0.8848853824300528,0.2952631578645916
open_path,2,R2,"a·σlog,real^α·(L/√A)^β",9,1.1194283279600439,0.684458051737588,1.5262615860263045,0.6956742622711988,0.4339840345525623,0.9593397644704414,0.894005127419114,0.28815252843198
open_path,2,R3,"a·CV^α·(L/√A)^β, L≤250",6,0.8615123190866535,0.5027286037057697,1.182329244273899,0.20230269964275027,-0.20766619522384794,0.6588300476946274,0.9927444225944997,0.1005954029299787
open_path,2,R4,"a·CVreal^α·(L/√A)^β, L≤250",6,0.8072638798645434,0.5074760645312318,1.0941868685262646,0.3631323691533272,-0.048543715382960005,0.7893297691172422,0.9996607143647476,0.01841846817850212
open_path,2,M2_nom,a·CV·L/√A,9,,,,,,,0.6512002168090758,0.4037788141539858
open_path,2,M2_real,a·CVreal·L/√A,9,,,,,,,0.8329071507647791,0.2794694610322737
open_path,3,M3_nom,a·CV^α·(L/√A)^β,9,0.8328053535256625,0.5280853955656059,1.0933693995811373,0.5311146671295719,0.2647988881831745,0.761826034060568,0.9390985244444346,0.21787932533526227
open_path,3,R1,a·CVreal^α·(L/√A)^β,9,0.8111796529572397,0.5183373881427512,1.0748164878944748,0.8036497697568213,0.5106042199298891,1.029932847300476,0.8946713794249324,0.28148760021462016
open_path,3,R2,"a·σlog,real^α·(L/√A)^β",9,1.1238361413000097,0.6700657344870272,1.5200065912155034,0.6948696630853225,0.3907882577449518,0.9425241773484085,0.9021312639726948,0.27714584827530964
open_path,3,R3,"a·CV^α·(L/√A)^β, L≤250",6,0.8670376963007631,0.5136624382302474,1.1735205475752046,0.22166432585123208,-0.15150496588894427,0.6266074280518871,0.9918813126401277,0.10749000737519711
open_path,3,R4,"a·CVreal^α·(L/√A)^β, L≤250",6,0.8127366660737634,0.5264411567008052,1.085748124066106,0.3835843282991359,0.01797012082859885,0.7697831237126067,0.999443847113786,0.024634419575396783
open_path,3,M2_nom,a·CV·L/√A,9,,,,,,,0.6544730334983653,0.400649672703328
open_path,3,M2_real,a·CVreal·L/√A,9,,,,,,,0.8433766074256148,0.26974421039027274
open_path,4,M3_nom,a·CV^α·(L/√A)^β,9,0.8216630101137498,0.5426576433973214,1.0885212772152095,0.5362984260415846,0.3047682418588607,0.7510362416548283,0.9320903342228203,0.2285515565835892
open_path,4,R1,a·CVreal^α·(L/√A)^β,9,0.7969578458294795,0.526117456096986,1.0896709504263966,0.8040553742230475,0.544827114752618,1.0519609604241442,0.8841281267230913,0.2952985023376372
open_path,4,R2,"a·σlog,real^α·(L/√A)^β",9,1.1058551733319366,0.6925842913545798,1.5210636567718292,0.6974334018461003,0.4401975089582342,0.9323157830490261,0.8930655589792961,0.2881050422143605
open_path,4,R3,"a·CV^α·(L/√A)^β, L≤250",6,0.8496802259284607,0.516118553335881,1.1558397213718374,0.2057335918776173,-0.1855256206166884,0.5757451915447183,0.9917469465959284,0.10625489122749712
open_path,4,R4,"a·CVreal^α·(L/√A)^β, L≤250",6,0.7965714405721479,0.5005201400741363,1.0825095254251056,0.3644330267517248,-0.035190314544850824,0.7586459773716674,0.9995948484737307,0.021839817603977196
open_path,4,M2_nom,a·CV·L/√A,9,,,,,,,0.6490597051443258,0.4032279041921071
open_path,4,M2_real,a·CVreal·L/√A,9,,,,,,,0.8295350082329976,0.2810292738004195
point,1,M3_nom,a·CV^α·(L/√A)^β,9,0.7835515873582783,0.46584775630439373,1.0556486550244895,0.3770050787227036,0.1334793678710702,0.6542357991668823,0.9365795268241605,0.18780946192329037
point,1,R1,a·CVreal^α·(L/√A)^β,9,0.7559402387749697,0.4162763868582626,1.054721435498161,0.6309811859925732,0.3401610552424194,0.9252126163868714,0.871744668304685,0.2704142733451267
point,1,R2,"a·σlog,real^α·(L/√A)^β",9,1.0608792263587947,0.5913880694569059,1.4724041743070135,0.5315865760048308,0.2529014705978545,0.8273645493892632,0.8974922136424553,0.24204748089988268
