geometry,pooled_by,value,n_runs,sd_emp_total,mae_emp_total,sd_emp_pure,mae_emp_pure,sd_pred_loglinear,mae_pred_loglinear,sd_pred_lognormal,mae_pred_lognormal,sd_pred_mc,mae_pred_mc
point,CV,0.5,240,0.10902438587642005,0.09594949650885512,0.13343557561925556,0.10307741972754474,0.13740640694982764,0.10369488319836886,0.1440301095128328,0.10860640602099916,0.14124573456732326,0.10452546807767855
point,CV,1.0,240,0.17852282907614003,0.14373018104655047,0.23743496256870966,0.1817209633035691,0.2421740158970043,0.18275862712347335,0.2815610295919723,0.21189984094747633,0.25731959415871436,0.1840655070124998
point,CV,2.0,240,0.2662496248517079,0.20804439970599328,0.38379589356864247,0.281232825899451,0.3690217183611645,0.27848529651964904,0.5344035900632977,0.4003554987761352,0.4154367705085388,0.27966120223397983
point,L_m,100.0,240,0.15168877535676517,0.12260400605574155,0.27063024450409706,0.18031900807518805,0.2377688098086248,0.16730726680274594,0.29411000595006553,0.20065322759332413,0.2721274960116221,0.17350837063834168
point,L_m,250.0,240,0.20446244648404707,0.1554079462847823,0.2988791345890744,0.2013928682053558,0.2835576556104174,0.20036573944350583,0.3756040207262757,0.25368166295303646,0.31179336797268475,0.20007174249613116
point,L_m,500.0,240,0.22299768314465865,0.169712124920875,0.24272049706520038,0.1843193326500209,0.27706831701889817,0.19726580059523954,0.3975291271316093,0.26652685519825026,0.2957820529700983,0.1946720641896853
open_path,CV,0.5,240,0.08527517365368982,0.06942955415153478,0.09615065296118988,0.07691429720796392,0.10733229193491173,0.08422695500017377,0.11161149949173294,0.08745374698003366,0.10924618371870634,0.0846768513052284
open_path,CV,1.0,240,0.14689485652792808,0.11465621803958409,0.1635441990376528,0.13206862161745478,0.18916943358251334,0.1484470803942664,0.21437877041120115,0.1674023973274904,0.19541602329422744,0.14761616637530292
open_path,CV,2.0,240,0.22295913511993048,0.17399933435247858,0.24432843308852767,0.19859817374340447,0.28825400274039387,0.2262017933257048,0.392104719376274,0.3038909104679657,0.3062493965197898,0.22136437784027319
open_path,L_m,100.0,240,0.12000218814644337,0.0906033296959871,0.1267345578487413,0.09659271310236729,0.15388728504345306,0.11466667716946227,0.17933596158946152,0.1304685917325319,0.17135571937911562,0.11790357256915922
open_path,L_m,250.0,240,0.1676972219888687,0.12542129127948587,0.18362366397729307,0.14546372800301327,0.22396472951483257,0.1669303006117029,0.27636181498858353,0.19935070202279306,0.23296898333616334,0.1635399459598856
open_path,L_m,500.0,240,0.1898011163906986,0.14206048556812453,0.21405463535073668,0.16552465146344264,0.23781120458273608,0.17727885093897985,0.32190721501071906,0.22892776102016482,0.24553356277697772,0.17221387699175972
