geometry,n,CV,L_m,ak,sd_pred_loglinear,sd_pred_lognormal,sd_pred_mc,mean_pred_mc,mae_pred_mc,sd_pred_mc_se,sd_mc_m_median,sd_mc_m_lo,sd_mc_m_hi,sd_emp_total,mean_emp_total,mae_emp_total,sd_emp_total_lo,sd_emp_total_hi,sd_emp_pure,mean_emp_pure,mae_emp_pure,sd_emp_pure_lo,sd_emp_pure_hi,m_realizations
open_path,1,0.5,100.0,0.9998816992984155,0.08250242573892148,0.0845176434927939,0.08319806003281814,-0.000832429965831768,0.0653805336377131,0.0009302988837767895,0.07772109782870387,0.04039016159745166,0.13183485627256455,0.04135813406996896,-0.012530316771849362,0.03608861588460294,0.027344929090964205,0.08417505599935221,0.043766166847775616,-0.0329912994833066,0.04393356210982299,0.02893705811318849,0.08907605790570594,8
open_path,1,0.5,250.0,0.9998816992984155,0.11929653220825472,0.12344527777557376,0.1222601063509092,0.003510748541201225,0.0966668996422211,0.0013670804394215123,0.11481693831836737,0.05851982807471033,0.1951709265464705,0.05512502582930202,-0.01957487528778205,0.04609479435125595,0.03644724203199444,0.11219442657391426,0.05456523862292776,-0.0413430287685804,0.05597178023953065,0.03607712520229327,0.11105510729600494,8
open_path,1,0.5,500.0,0.9998816992984155,0.12606260525836654,0.1325736718206735,0.1282956656062449,0.00306028987058425,0.10119328599406098,0.001434568479839674,0.11857567139726242,0.06116575297911249,0.2020630115342059,0.1111244122013707,0.04517668191021995,0.08984109878259461,0.07347258865162434,0.22616841475780095,0.12143528105494764,0.03728774696650966,0.09916225231793896,0.08028986858959965,0.24715383836718058,8
open_path,1,1.0,100.0,0.9998816992984155,0.14540765751726872,0.15726382740342973,0.1560002051675082,0.0019893516775691027,0.11908034275867109,0.0017443533740935375,0.1395737230931056,0.0706709957416208,0.27360829750269244,0.0789666972900636,-0.04023238765864655,0.07355715785336378,0.05221073886677995,0.16071871509555236,0.07940932165376406,-0.06411894219653236,0.08397983117054797,0.05250339065370162,0.16161957610969124,8
open_path,1,1.0,250.0,0.9998816992984155,0.21025599117811444,0.23456905173516718,0.22158423885686743,0.005644097126718801,0.1692001322486808,0.002477696835596405,0.19975401762130654,0.10199125500636874,0.3972204907359375,0.09871040931156216,-0.05693167117765818,0.08881766707680464,0.06526477085736537,0.20090254114130926,0.09204298103403305,-0.08324514899732235,0.10377452660244603,0.06085643964107605,0.18733251045077579,8
open_path,1,1.0,500.0,0.9998816992984155,0.2221809597350492,0.2604978039012791,0.22144164188423754,0.006281352616654249,0.17023653187332843,0.0024761023536527733,0.19945686519921607,0.09375939733699158,0.38112186549373755,0.2047967729491102,0.06025090049378395,0.1590913946717325,0.13540633203803332,0.4168171562651668,0.22217489182830064,0.060746934968002056,0.17859568074884896,0.1468962949962719,0.45218635661024303,8
open_path,1,2.0,100.0,0.9998816992984155,0.2215703589881211,0.27051205251869626,0.25543945301910553,0.00823746321148802,0.18374639567774056,0.0028562569598677,0.2143500126903644,0.09955673236787972,0.5129073430679085,0.14993073662774678,-0.08144670743884287,0.13517891284163994,0.09913032717350642,0.30514984380856486,0.1508095208194229,-0.11505878855500853,0.14731011364928687,0.0997113565634443,0.30693840874770206,8
open_path,1,2.0,250.0,0.9998816992984155,0.3203854338909586,0.41956279437060073,0.3275490679312583,0.004795770640498758,0.24090049514472195,0.0036625677588921993,0.2828665908341813,0.13125450931970561,0.5720740993075831,0.16365483413508958,-0.1070331344422768,0.15006671312834502,0.10820434566140212,0.33308211643640534,0.15003663910388906,-0.14358032266009718,0.17176370915856903,0.09920034715302892,0.3053653841626018,8
open_path,1,2.0,500.0,0.9998816992984155,0.3385565509366224,0.495984593916932,0.3535455159351553,0.009920811571983993,0.26034146885863846,0.003953253221397539,0.29750510408204156,0.13016060302578292,0.6436454251185464,0.3221031180434295,0.0759955533793723,0.24527159246791105,0.2129662549082854,0.655567486507062,0.34883084493953087,0.08626734302264642,0.2749602731724834,0.23063793698901178,0.7099656831086915,8
open_path,2,0.5,100.0,0.9999405927230371,0.08310680730500773,0.08512159608932464,0.08366930842285188,-0.00048478175373456217,0.06591803687775939,0.0009355682596619611,0.07810059517544703,0.03776861352961062,0.13037521801453514,0.04124004803444539,-0.005399862110361987,0.036054546872647114,0.027266853656938043,0.08393471878694023,0.04285513055556769,-0.03562324312617289,0.04518151865719641,0.028334704468133454,0.0872218511664873,8
