geometry,pooled_by,value,n_runs,sd_emp_total,mae_emp_total,sd_emp_pure,mae_emp_pure,sd_pred_loglinear,mae_pred_loglinear,sd_pred_lognormal,mae_pred_lognormal,sd_pred_mc,mae_pred_mc
point,CV,0.5,96,0.0993401057795791,0.08093536412973623,0.11442077684270127,0.09205160329089511,0.13740640694982764,0.10369488319836886,0.1440301095128328,0.10860640602099916,0.14124573456732326,0.10452546807767855
point,CV,1.0,96,0.16807190340933306,0.12848839109707086,0.2055609540483072,0.17064551339379205,0.2421740158970043,0.18275862712347335,0.2815610295919723,0.21189984094747633,0.25731959415871436,0.1840655070124998
point,CV,2.0,96,0.26410578696225545,0.202986132307713,0.32797220355733014,0.2789730747635291,0.3690217183611645,0.27848529651964904,0.5344035900632977,0.4003554987761352,0.4154367705085388,0.27966120223397983
point,L_m,100.0,96,0.13564854937162069,0.10377685942175964,0.20165252193810382,0.17393984076379207,0.2377688098086248,0.16730726680274594,0.29411000595006553,0.20065322759332413,0.2721274960116221,0.17350837063834168
point,L_m,250.0,96,0.15153662869317758,0.11820921851368665,0.20211965961725933,0.17743052332978074,0.2835576556104174,0.20036573944350583,0.3756040207262757,0.25368166295303646,0.31179336797268475,0.20007174249613116
point,L_m,500.0,96,0.23931586444653158,0.1904238095990738,0.2552735474491025,0.19029982735464349,0.27706831701889817,0.19726580059523954,0.3975291271316093,0.26652685519825026,0.2957820529700983,0.1946720641896853
open_path,CV,0.5,96,0.07615867618418597,0.05697157483009709,0.08209241295568548,0.0646052391592959,0.10733229193491173,0.08422695500017377,0.11161149949173294,0.08745374698003366,0.10924618371870634,0.0846768513052284
open_path,CV,1.0,96,0.13774685713598578,0.10330638035349426,0.14777194556529263,0.11651690074605447,0.18916943358251334,0.1484470803942664,0.21437877041120115,0.1674023973274904,0.19541602329422744,0.14761616637530292
open_path,CV,2.0,96,0.22241507870609456,0.1722880286397285,0.23714627088452678,0.18870290077200277,0.28825400274039387,0.2262017933257048,0.392104719376274,0.3038909104679657,0.3062493965197898,0.22136437784027319
open_path,L_m,100.0,96,0.09821560661251018,0.07841155719371468,0.09611868885486306,0.08741159714715645,0.15388728504345306,0.11466667716946227,0.17933596158946152,0.1304685917325319,0.17135571937911562,0.11790357256915922
open_path,L_m,250.0,96,0.11207175421883138,0.09040964284138936,0.10370887267869332,0.10602168864936967,0.22396472951483257,0.1669303006117029,0.27636181498858353,0.19935070202279306,0.23296898333616334,0.1635399459598856
open_path,L_m,500.0,96,0.20992788716508307,0.1637447837882159,0.2275518129385026,0.17639175488082703,0.23781120458273608,0.17727885093897985,0.32190721501071906,0.22892776102016482,0.24553356277697772,0.17221387699175972
