geometry,n,CV,L_m,ak,sd_pred_loglinear,sd_pred_lognormal,sd_pred_mc,mean_pred_mc,mae_pred_mc,sd_pred_mc_se,sd_mc_m_median,sd_mc_m_lo,sd_mc_m_hi,sd_emp_total,mean_emp_total,mae_emp_total,sd_emp_total_lo,sd_emp_total_hi,sd_emp_pure,mean_emp_pure,mae_emp_pure,sd_emp_pure_lo,sd_emp_pure_hi,m_realizations
open_path,1,0.5,100.0,0.9998816992984155,0.08250242573892148,0.0845176434927939,0.08319806003281814,-0.000832429965831768,0.0653805336377131,0.0009302988837767895,0.0805390040487152,0.05071737302162268,0.11435074968203446,0.06231618863778304,0.013356260909184906,0.04821373847271644,0.047390862870282456,0.09101725759540068,0.06786589358091291,-0.007630459298312696,0.05383030372842641,0.05161136017089774,0.09912299922416679,20
open_path,1,0.5,250.0,0.9998816992984155,0.11929653220825472,0.12344527777557376,0.1222601063509092,0.003510748541201225,0.0966668996422211,0.0013670804394215123,0.1180697832369433,0.08037193741443824,0.16570428159443545,0.09153920101097969,0.01546469210370835,0.07213331190261643,0.06961468307348158,0.13369956058965268,0.10295151311040779,-0.0037035033186997046,0.08338007752856971,0.07829363680219124,0.15036805994461755,20
open_path,1,0.5,500.0,0.9998816992984155,0.12606260525836654,0.1325736718206735,0.1282956656062449,0.00306028987058425,0.10119328599406098,0.001434568479839674,0.12550777005021058,0.08319334812905936,0.1687472779208656,0.10688732916665471,0.005543074810586507,0.08374983354401935,0.08128678710681632,0.1561166012413544,0.12140476294846404,-0.010037135584440606,0.09744742252843279,0.09232715604820234,0.17732035325230408,20
open_path,1,1.0,100.0,0.9998816992984155,0.14540765751726872,0.15726382740342973,0.1560002051675082,0.0019893516775691027,0.11908034275867109,0.0017443533740935375,0.14595505653926544,0.10095185599810749,0.23489614457881275,0.10910539342741851,0.008257110975381947,0.08364779869857294,0.08297360367113359,0.15935624298771575,0.11426790853850453,-0.016755602686023083,0.09334832956127112,0.08689964682369733,0.16689646613000486,20
open_path,1,1.0,250.0,0.9998816992984155,0.21025599117811444,0.23456905173516718,0.22158423885686743,0.005644097126718801,0.1692001322486808,0.002477696835596405,0.2125755653928424,0.12758290330117983,0.32732719448355124,0.15895053217873822,0.01256948998244603,0.1251310076936516,0.120880352895552,0.2321586388463203,0.1742299140795052,-0.008743514847838436,0.14467616616541717,0.132500176062383,0.2544752706680139,20
open_path,1,1.0,500.0,0.9998816992984155,0.2221809597350492,0.2604978039012791,0.22144164188423754,0.006281352616654249,0.17023653187332843,0.0024761023536527733,0.2124838596196974,0.1317916917286978,0.33361931721760435,0.18479646137903719,-0.00028617476430070865,0.14268081490649823,0.1405359337849094,0.26990846994542245,0.20663496394467012,-0.011345128516784462,0.16748974084540708,0.15714390521262153,0.3018051673681027,20
open_path,1,2.0,100.0,0.9998816992984155,0.2215703589881211,0.27051205251869626,0.25543945301910553,0.00823746321148802,0.18374639567774056,0.0028562569598677,0.23147439404455117,0.14241713334419587,0.4394758123912097,0.17286016719408684,-0.00036423420628377555,0.13434261045571275,0.1314584967133591,0.2524746572185092,0.1749932563054284,-0.034800928967061454,0.1431107452001518,0.133080690492784,0.2555901866718494,20
open_path,1,2.0,250.0,0.9998816992984155,0.3203854338909586,0.41956279437060073,0.3275490679312583,0.004795770640498758,0.24090049514472195,0.0036625677588921993,0.29435835393582593,0.18268162182905415,0.498986003940173,0.2400351639205408,0.00839895240058135,0.1899026890981234,0.18254443646296808,0.35058855209356926,0.2564543295989574,-0.019100401602470667,0.21741868441061502,0.1950310542443147,0.3745699197722067,20
open_path,1,2.0,500.0,0.9998816992984155,0.3385565509366224,0.495984593916932,0.3535455159351553,0.009920811571983993,0.26034146885863846,0.003953253221397539,0.32412208488108907,0.19901391634530818,0.5726712467012706,0.27679580784403307,-0.001158823134048996,0.21220388341036464,0.21050055305616483,0.4042801059337004,0.30657215139125127,-0.005781269475599712,0.24667307227242374,0.2331451763020906,0.4477705887461088,20
open_path,2,0.5,100.0,0.9999405927230371,0.08310680730500773,0.08512159608932464,0.08366930842285188,-0.00048478175373456217,0.06591803687775939,0.0009355682596619611,0.08059852821414065,0.05291499255641647,0.1141816044217758,0.06278278354517224,0.022963875816720214,0.05149333699823803,0.047745703815395175,0.091698752882691,0.0733809942183169,-0.005238880677828262,0.05746785118711443,0.05580554122940604,0.10717819878550207,20
