target,variant,pearson_r_variance,pearson_r_sd,pearson_r_log_sd,spearman_rho_sd,rmse_sd_pp,rmse_variance_pp2,rmse_log10_ratio,median_ratio_pred_over_emp,frac_pred_in_emp_chi2_95ci,z_sd,z_frac_abs_lt1,z_frac_abs_lt2,frac_emp_in_mc_m_95band,median_ratio_emp_over_mc_m_median
total,loglinear,0.949999015353466,0.9644245925805152,0.972722859270782,0.9601260531223874,6.372532448151554,414.8398479288754,0.12612306493890713,1.3032185968968206,0.8194444444444444,0.8006873161078814,0.7708333333333334,0.9805555555555555,0.9027777777777778,0.7745183466872148
total,lognormal,0.966374347055288,0.9726647296435249,0.9776888581638873,0.9699980706154737,14.010700289945174,1255.0933168287604,0.19940833444017078,1.5092852109620583,0.4166666666666667,0.6967337121152146,0.8465277777777778,0.9888888888888889,0.9027777777777778,0.7745183466872148
total,mc,0.9246067800333988,0.9473401496994811,0.9630782160732865,0.9442729435976591,8.476885877924964,596.1841615987611,0.15298512147744467,1.354910480335537,0.7222222222222222,0.7629373722241396,0.8013888888888889,0.9847222222222223,0.9027777777777778,0.7745183466872148
pure,loglinear,0.9336849025817893,0.956636631004343,0.9727685545947731,0.9653997041610396,3.5466817695705033,281.4273507320814,0.05955729560823333,1.0774142968562206,0.9861111111111112,0.9297824578994662,0.7006944444444444,0.98125,1.0,0.9452326571318632
pure,lognormal,0.8743826552265812,0.9282671668013578,0.9616875175585091,0.9525049842433597,9.736819175492075,918.6190538024838,0.12479289235471559,1.2357078139102189,0.7638888888888888,0.7998622985476325,0.7958333333333333,0.9916666666666667,1.0,0.9452326571318632
pure,mc,0.9482521152301687,0.9643053927088243,0.9746308412401223,0.9612193710206445,4.070585573658301,274.09676574122875,0.07321324626892034,1.1349421139322815,1.0,0.8765767276073827,0.7340277777777777,0.9833333333333333,1.0,0.9452326571318632
