target,variant,pearson_r_variance,pearson_r_sd,pearson_r_log_sd,spearman_rho_sd,rmse_sd_pp,rmse_variance_pp2,rmse_log10_ratio,median_ratio_pred_over_emp,frac_pred_in_emp_chi2_95ci,z_sd,z_frac_abs_lt1,z_frac_abs_lt2,frac_emp_in_mc_m_95band,median_ratio_emp_over_mc_m_median
total,loglinear,0.7671440743964664,0.8335913163781984,0.8785654835523303,0.8502797607563188,9.108715855895671,505.84688661848,0.23543254110749284,1.7096292489368612,0.75,0.7486571112493797,0.8576388888888888,0.9809027777777778,0.8472222222222222,0.6035603540732171
total,lognormal,0.837274552740829,0.8746824424128121,0.8971781605312303,0.8848479001865073,15.795727796272551,1293.743482766121,0.29292116299364535,1.918041050924838,0.5972222222222222,0.6379263082777294,0.9045138888888888,0.9930555555555556,0.8472222222222222,0.6035603540732171
total,mc,0.7382656215598876,0.8097429561373606,0.8627627462937342,0.8242330696507816,11.042971321905034,676.7375179188709,0.25922849564481015,1.8384772375091014,0.7083333333333334,0.715843879290291,0.8663194444444444,0.984375,0.8472222222222222,0.6035603540732171
pure,loglinear,0.6254538427582355,0.7179414716033121,0.8066650801980739,0.7944562351276611,9.594443771051454,545.7252651623268,0.2215576496834023,1.468691758679563,0.7777777777777778,0.8312374548922301,0.7725694444444444,0.9774305555555556,0.8888888888888888,0.6959017538390377
pure,lognormal,0.7099463645990357,0.7688607900448048,0.830854118853746,0.8365811306193325,15.5333899146213,1261.6764776243872,0.27422105921369394,1.7643425087679558,0.6944444444444444,0.7028722575569061,0.8541666666666666,1.0,0.8888888888888888,0.6959017538390377
pure,mc,0.6059401636544125,0.7058317227208865,0.8001209221588106,0.7838767766415847,11.188443621870153,692.8271006870408,0.24143128017566368,1.6362869726379892,0.7083333333333334,0.7855645414217258,0.7986111111111112,0.9791666666666666,0.8888888888888888,0.6959017538390377
