run,geometry,n,CV,L_m,seed,e_signed,e_pure_representativeness,e_transport,sd_pred_loglinear,sd_pred_lognormal,sd_pred_mc,z_total_loglinear,z_pure_loglinear,z_total_lognormal,z_pure_lognormal,z_total_mc,z_pure_mc,pit_pure_mc
source_heterogeneity_les_rice_paddy_l100_cv0p5_s0_wind3_n1_op,open_path,1,0.5,100.0,0,0.004103101923173557,-0.004417070629494518,0.008520172552668074,0.08250242573892148,0.0845176434927939,0.08319806003281814,0.049733106468381943,-0.05353867586235968,0.04854728259814051,-0.05226211293824257,0.049317278811009,-0.053091029138806464,0.515
source_heterogeneity_les_rice_paddy_l100_cv0p5_s0_wind3_n1_point,point,1,0.5,100.0,0,0.000290522198257676,-0.1204692365950762,0.12075975879333388,0.18518434994300983,0.191282193970373,0.19055458313435963,0.0015688269464837806,-0.6505368117346331,0.0015188146488045507,-0.6297984882677331,0.0015246140684678751,-0.632203301613237,0.28125
source_heterogeneity_les_rice_paddy_l100_cv0p5_s0_wind3_n2_op,open_path,2,0.5,100.0,0,0.010259674245713514,0.005655450067356644,0.00460422417835687,0.08310680730500773,0.08512159608932464,0.08366930842285188,0.12345167114963038,0.06805038300413528,0.12052962722817424,0.06643966193281838,0.1226217168410511,0.06759288649518728,0.55925
source_heterogeneity_les_rice_paddy_l100_cv0p5_s0_wind3_n2_point,point,2,0.5,100.0,0,0.08566178651179385,-0.0664385845982304,0.15210037111002425,0.10066740254137618,0.10424286974517911,0.10205659249930563,0.8509386787504053,-0.6599811152465457,0.8217519982056655,-0.6373441633047805,0.8393557379683892,-0.6509974806250997,0.268
source_heterogeneity_les_rice_paddy_l100_cv0p5_s0_wind3_n3_op,open_path,3,0.5,100.0,0,0.022390483110294675,-0.0017838784864744666,0.024174361596769143,0.0765457474343384,0.07839385422527313,0.07684001575842433,0.2925111304125866,-0.02330473666097118,0.28561528619262966,-0.02275533591381157,0.29139092293639857,-0.023215488295613623,0.51875
source_heterogeneity_les_rice_paddy_l100_cv0p5_s0_wind3_n3_point,point,3,0.5,100.0,0,0.08882388623620502,-0.06383451143187781,0.1526583976680828,0.08490550218320969,0.08799473432694195,0.08672129583583088,1.046149942609611,-0.7518300909891005,1.0094227446176764,-0.7254355833918708,1.0242453757189522,-0.7360880717548403,0.25075
source_heterogeneity_les_rice_paddy_l100_cv0p5_s0_wind3_n4_op,open_path,4,0.5,100.0,0,0.041354819786593326,0.018483408946655403,0.022871410839937923,0.0743891977792162,0.07616385601025379,0.07460535049026114,0.5559250673643851,0.24846899144568452,0.5429717185146956,0.24267953219394536,0.5543143958822594,0.24774910680257708,0.627
source_heterogeneity_les_rice_paddy_l100_cv0p5_s0_wind3_n4_point,point,4,0.5,100.0,0,-0.0203156130972749,0.05979242996713522,-0.08010804306441012,0.09110440029527267,0.0942850767205037,0.09287253082331157,-0.2229926659023193,0.6563067181535226,-0.21547008077957014,0.634166424283478,-0.21874727561721144,0.6438117862954474,0.76425
source_heterogeneity_les_rice_paddy_l100_cv0p5_s1_wind3_n1_op,open_path,1,0.5,100.0,1,0.05305722564442299,0.04017306120542222,0.01288416443900077,0.08250242573892148,0.0845176434927939,0.08319806003281814,0.6430989776266981,0.4869318792219476,0.6277650849191828,0.4753215961214942,0.6377219087018873,0.4828605521520049,0.715
source_heterogeneity_les_rice_paddy_l100_cv0p5_s1_wind3_n1_point,point,1,0.5,100.0,1,0.13112318739798737,0.04075310739168542,0.09037008000630195,0.18518434994300983,0.191282193970373,0.19055458313435963,0.7080684055555467,0.22006777248848033,0.6854960447510162,0.21305227917867525,0.688113532832389,0.21386579488854637,0.63
source_heterogeneity_les_rice_paddy_l100_cv0p5_s1_wind3_n2_op,open_path,2,0.5,100.0,1,0.06071974791572054,0.0325776520567375,0.028142095858983036,0.08310680730500773,0.08512159608932464,0.08366930842285188,0.7306230366048699,0.3919973960397163,0.7133295274680075,0.38271899909573204,0.7257111246677482,0.3893620333527204,0.67875
source_heterogeneity_les_rice_paddy_l100_cv0p5_s1_wind3_n2_point,point,2,0.5,100.0,1,0.1340166085623276,0.16039295554076682,-0.026376346978439213,0.10066740254137618,0.10424286974517911,0.10205659249930563,1.331281081850148,1.5932958583573498,1.2856189482305136,1.5386467768284406,1.313159740888267,1.5716079835005083,0.9335
source_heterogeneity_les_rice_paddy_l100_cv0p5_s1_wind3_n3_op,open_path,3,0.5,100.0,1,0.06736046403347005,0.03504043715516742,0.032320026878302634,0.0765457474343384,0.07839385422527313,0.07684001575842433,0.8800026950060478,0.4577711803679938,0.8592569494019588,0.44697939017610966,0.8766326160739368,0.45601808913379577,0.704
source_heterogeneity_les_rice_paddy_l100_cv0p5_s1_wind3_n3_point,point,3,0.5,100.0,1,0.1397019162136931,0.03948638214360867,0.10021553407008443,0.08490550218320969,0.08799473432694195,0.08672129583583088,1.6453811899285786,0.4650627006292793,1.5876167736882365,0.4487357390829561,1.6109297591465657,0.45532509360052675,0.70725
source_heterogeneity_les_rice_paddy_l100_cv0p5_s1_wind3_n4_op,open_path,4,0.5,100.0,1,0.0875006037037835,0.03358063816680072,0.05391996553698278,0.0743891977792162,0.07616385601025379,0.07460535049026114,1.1762541647979774,0.4514182054559393,1.1488468190476526,0.44089992190363664,1.17284622522088,0.45011031978442734,0.69975
source_heterogeneity_les_rice_paddy_l100_cv0p5_s1_wind3_n4_point,point,4,0.5,100.0,1,0.010138677497510786,-0.005624037523640175,0.01576271502115096,0.09110440029527267,0.0942850767205037,0.09287253082331157,0.11128636448569953,-0.061731787986227506,0.107532155142278,-0.05964928617825629,0.10916766677543709,-0.06055652272833839,0.52725
source_heterogeneity_les_rice_paddy_l100_cv0p5_s2_wind3_n1_op,open_path,1,0.5,100.0,2,-0.0445457463264106,-0.061266375960482,0.0167206296340714,0.08250242573892148,0.0845176434927939,0.08319806003281814,-0.5399325647390707,-0.7426009042977614,-0.5270585464230155,-0.72489451230033,-0.5354180891818772,-0.7363918814490985,0.23775
source_heterogeneity_les_rice_paddy_l100_cv0p5_s2_wind3_n1_point,point,1,0.5,100.0,2,0.046941178281678785,-0.13879276973479268,0.18573394801647147,0.18518434994300983,0.191282193970373,0.19055458313435963,0.2534835060096863,-0.7494843369728917,0.2454027596993651,-0.7255916865753317,0.2463398020113778,-0.7283622752696018,0.24
source_heterogeneity_les_rice_paddy_l100_cv0p5_s2_wind3_n2_op,open_path,2,0.5,100.0,2,-0.03577969150637994,-0.08400683238974158,0.048227140883361636,0.08310680730500773,0.08512159608932464,0.08366930842285188,-0.4305266038564807,-1.010829739631685,-0.4203362383951724,-0.9869038675166141,-0.4276322128247416,-1.004034023625293,0.14975
source_heterogeneity_les_rice_paddy_l100_cv0p5_s2_wind3_n2_point,point,2,0.5,100.0,2,0.011311130120257952,0.009604117871777045,0.0017070122484809068,0.10066740254137618,0.10424286974517911,0.10205659249930563,0.1123613983743036,0.09540444701381436,0.10850747056281089,0.09213213234875668,0.1108319398409751,0.0941058057747949,0.57225
source_heterogeneity_les_rice_paddy_l100_cv0p5_s2_wind3_n3_op,open_path,3,0.5,100.0,2,-0.030570160755478037,-0.07604309912473314,0.0454729383692551,0.0765457474343384,0.07839385422527313,0.07684001575842433,-0.39937111831981764,-0.9934333607489243,-0.38995608849172547,-0.970013528180604,-0.39784167733107845,-0.9896288850825252,0.15675
source_heterogeneity_les_rice_paddy_l100_cv0p5_s2_wind3_n3_point,point,3,0.5,100.0,2,0.040600772288603655,-0.15096474282050998,0.19156551510911363,0.08490550218320969,0.08799473432694195,0.08672129583583088,0.47818776456907375,-1.778032506005997,0.4614000212530063,-1.7156110984960162,0.4681753414462762,-1.740803586541144,0.02175
source_heterogeneity_les_rice_paddy_l100_cv0p5_s2_wind3_n4_op,open_path,4,0.5,100.0,2,-0.00966646384279976,-0.09469261747794028,0.08502615363514052,0.0743891977792162,0.07616385601025379,0.07460535049026114,-0.12994445606860006,-1.2729350538096098,-0.1269166813389593,-1.2432749920801278,-0.12956797038386147,-1.2692470024693645,0.0895
source_heterogeneity_les_rice_paddy_l100_cv0p5_s2_wind3_n4_point,point,4,0.5,100.0,2,-0.08324893708398902,-0.14828705575050102,0.065038118666512,0.09110440029527267,0.0942850767205037,0.09287253082331157,-0.9137751504227698,-1.627660741631549,-0.8829492426544878,-1.572752135420958,-0.8963784699952748,-1.596672928323819,0.0265
source_heterogeneity_les_rice_paddy_l100_cv0p5_s3_wind3_n1_op,open_path,1,0.5,100.0,3,-0.05178272891029466,-0.05735343887244829,0.005570709962153628,0.08250242573892148,0.0845176434927939,0.08319806003281814,-0.6276509865802109,-0.69517275836159,-0.6126854319442748,-0.6785972313264783,-0.6224030811519949,-0.6893602909710246,0.26025
source_heterogeneity_les_rice_paddy_l100_cv0p5_s3_wind3_n1_point,point,1,0.5,100.0,3,-0.025344628667513365,-0.14480026896452913,0.11945564029701577,0.18518434994300983,0.191282193970373,0.19055458313435963,-0.13686161209256145,-0.7819249791307482,-0.1324986301204748,-0.7569981604610658,-0.13300456095376578,-0.7598886711763357,0.22925
source_heterogeneity_les_rice_paddy_l100_cv0p5_s3_wind3_n2_op,open_path,2,0.5,100.0,3,-0.046723930365992726,-0.04764805629925547,0.0009241259332627427,0.08310680730500773,0.08512159608932464,0.08366930842285188,-0.5622154415644036,-0.573335179684906,-0.5489080622614467,-0.5597646013269617,-0.5584357185057289,-0.5694806996425676,0.30325
source_heterogeneity_les_rice_paddy_l100_cv0p5_s3_wind3_n2_point,point,2,0.5,100.0,3,-0.03608537044976964,-0.03956945059091296,0.0034840801411433267,0.10066740254137618,0.10424286974517911,0.10205659249930563,-0.3584613245080787,-0.3930711391371122,-0.34616631850197566,-0.37958903748179784,-0.35358196434017874,-0.3877206716575628,0.3685
