L_m,CV,seed,n,network,q_posterior_kg_s,q_rel_error,posterior_sigma_kg_s,ak_diagonal,chi2_per_dof_or_nan,converged
100,1.0,3,1,point,0.025567851,-0.079565,0.009821644,0.999904,nan,True
100,1.0,4,1,point,0.034382344,+0.237754,0.009821644,0.999904,nan,True
100,1.0,5,1,point,0.022436788,-0.192282,0.009821644,0.999904,nan,True
100,1.0,6,1,point,0.022368144,-0.194753,0.009821644,0.999904,nan,True
100,1.0,7,1,point,0.025130521,-0.095308,0.009821644,0.999904,nan,True
100,1.0,0,2,op,0.027082442,-0.025040,0.007707612,0.999941,1.0638,True
100,1.0,1,2,op,0.029935756,+0.077679,0.007707612,0.999941,0.5634,True
100,1.0,2,2,op,0.025343641,-0.087636,0.007707612,0.999941,0.2661,True
100,1.0,3,2,op,0.025252320,-0.090924,0.007707612,0.999941,0.5371,True
100,1.0,4,2,op,0.029355280,+0.056782,0.007707612,0.999941,0.0683,True
100,1.0,5,2,op,0.024000459,-0.135990,0.007707612,0.999941,1.5370,True
100,1.0,6,2,op,0.025439252,-0.084194,0.007707612,0.999941,0.2539,True
100,1.0,7,2,op,0.028369893,+0.021308,0.007707612,0.999941,1.4388,True
100,1.0,0,2,point,0.029706835,+0.069437,0.007962775,0.999937,1.2535,True
100,1.0,1,2,point,0.032297601,+0.162704,0.007962775,0.999937,0.2616,True
100,1.0,2,2,point,0.026571019,-0.043451,0.007962775,0.999937,0.0885,True
100,1.0,3,2,point,0.024608092,-0.114116,0.007962775,0.999937,0.4335,True
100,1.0,4,2,point,0.029693827,+0.068969,0.007962775,0.999937,0.0054,True
100,1.0,5,2,point,0.024675376,-0.111694,0.007962775,0.999937,1.2695,True
100,1.0,6,2,point,0.029439132,+0.059800,0.007962775,0.999937,0.0603,True
100,1.0,7,2,point,0.031965966,+0.150766,0.007962775,0.999937,1.2470,True
100,1.0,0,3,op,0.027504184,-0.009857,0.006541535,0.999957,0.8719,True
100,1.0,1,3,op,0.030139867,+0.085027,0.006541535,0.999957,0.2738,True
100,1.0,2,3,op,0.025463811,-0.083310,0.006541535,0.999957,0.0687,True
100,1.0,3,3,op,0.025620283,-0.077677,0.006541535,0.999957,0.6542,True
100,1.0,4,3,op,0.029299313,+0.054767,0.006541535,0.999957,0.0182,True
100,1.0,5,3,op,0.024312797,-0.124746,0.006541535,0.999957,1.3180,True
100,1.0,6,3,op,0.026313397,-0.052725,0.006541535,0.999957,0.3943,True
100,1.0,7,3,op,0.028948750,+0.042147,0.006541535,0.999957,1.2591,True
100,1.0,0,3,point,0.029214525,+0.051714,0.006713806,0.999955,0.6564,True
100,1.0,1,3,point,0.032229619,+0.160257,0.006713806,0.999955,0.1996,True
100,1.0,2,3,point,0.027394402,-0.013809,0.006713806,0.999955,0.0735,True
100,1.0,3,3,point,0.027145460,-0.022771,0.006713806,0.999955,0.6352,True
100,1.0,4,3,point,0.030379333,+0.093647,0.006713806,0.999955,0.2201,True
100,1.0,5,3,point,0.025602820,-0.078306,0.006713806,0.999955,1.1963,True
100,1.0,6,3,point,0.027808894,+0.001112,0.006713806,0.999955,0.3361,True
100,1.0,7,3,point,0.031062703,+0.118248,0.006713806,0.999955,1.1430,True
100,1.0,0,4,op,0.028031903,+0.009140,0.005758145,0.999967,0.9074,True
100,1.0,1,4,op,0.030683435,+0.104595,0.005758145,0.999967,0.3624,True
100,1.0,2,4,op,0.026049347,-0.062231,0.005758145,0.999967,0.1300,True
100,1.0,3,4,op,0.025997246,-0.064107,0.005758145,0.999967,0.7636,True
100,1.0,4,4,op,0.029735149,+0.070457,0.005758145,0.999967,0.0646,True
100,1.0,5,4,op,0.025098419,-0.096464,0.005758145,0.999967,1.4420,True
100,1.0,6,4,op,0.026437531,-0.048256,0.005758145,0.999967,0.4147,True
100,1.0,7,4,op,0.029511647,+0.062411,0.005758145,0.999967,1.3023,True
100,1.0,0,4,point,0.026529454,-0.044947,0.005746857,0.999967,1.2284,True
100,1.0,1,4,point,0.028387524,+0.021943,0.005746857,0.999967,0.6399,True
100,1.0,2,4,point,0.023952323,-0.137723,0.005746857,0.999967,0.3061,True
100,1.0,3,4,point,0.024358832,-0.123089,0.005746857,0.999967,0.9557,True
100,1.0,4,4,point,0.027251050,-0.018970,0.005746857,0.999967,0.1597,True
