seed,n_state,time,n_obs,dfs,chi2,total_rel,cell_err,cell_z
0,1,averaged,4,0.9999668437657886,0.8760027156974708,-0.013594280864399632,nan,nan
0,1,resolved,106,0.9999985697102,2.1308749482679703,0.06349126909807828,nan,nan
0,9,averaged,4,3.9995920751980876,nan,-0.06432470517892312,0.47113903741372654,0.008918085242383474
0,9,resolved,106,8.998666670341178,1.3129315854219346,0.27897001576586594,1.2139375182366647,1.4850369328919013
1,1,averaged,4,0.9999668437657886,0.26749504868162405,0.09426941715678881,nan,nan
1,1,resolved,106,0.9999985697102,2.5377787781056083,0.17770406515441142,nan,nan
1,9,averaged,4,3.9995920751980876,nan,-0.02491015307466182,0.5879690326792396,0.01248711997741514
1,9,resolved,106,8.998666670341178,2.0042018173387883,0.2847634351959578,1.4622737241238808,2.1010318311750686
2,1,averaged,4,0.9999668437657886,0.11618154608466369,-0.0375666831482731,nan,nan
2,1,resolved,106,0.9999985697102,2.4575284255004664,0.028964078763715873,nan,nan
2,9,averaged,4,3.9995920751980876,nan,-0.1535998301406216,0.588126593438083,0.01098573600554975
2,9,resolved,106,8.998666670341178,2.1235417725934638,0.12687305761971837,1.115091973045907,1.7894069281333884
3,1,averaged,4,0.9999668437657886,0.6294966990271571,-0.08910250644665632,nan,nan
3,1,resolved,106,0.9999985697102,1.822874030553716,-0.014907333996059867,nan,nan
3,9,averaged,4,3.9995920751980876,nan,-0.1819870613617396,0.5704731763467696,0.010607381420139443
3,9,resolved,106,8.998666670341178,1.281171131229354,0.1480979537255985,0.9477456326085356,1.5390726450198813
4,1,averaged,4,0.9999668437657886,0.022845510910687622,0.07967496797043523,nan,nan
4,1,resolved,106,0.9999985697102,2.561455497783573,0.1653900711969781,nan,nan
4,9,averaged,4,3.9995920751980876,nan,-0.11111485397904303,0.5924283390723952,0.011756970249369173
4,9,resolved,106,8.998666670341178,2.1443301075676717,0.1286669113704764,1.2625924231546928,1.7322130353106364
5,1,averaged,4,0.9999668437657886,1.4001980225334163,-0.09531397881086287,nan,nan
5,1,resolved,106,0.9999985697102,2.5147615257866462,-0.029164994969703636,nan,nan
5,9,averaged,4,3.9995920751980876,nan,-0.141716620545947,0.4521638598155988,0.008426264122065569
5,9,resolved,106,8.998666670341178,1.4844107968907292,0.16325609725553292,1.2308180411766056,1.2427469036651686
6,1,averaged,4,0.9999668437657886,0.457384029840348,-0.05699460823349446,nan,nan
6,1,resolved,106,0.9999985697102,2.4363729434051695,0.0008866849728694292,nan,nan
6,9,averaged,4,3.9995920751980876,nan,-0.09711099413531539,0.47025463476521295,0.006870422792733355
6,9,resolved,106,8.998666670341178,1.8168981572551985,0.35150795205367413,0.9106905947684264,1.6440408378041238
7,1,averaged,4,0.9999668437657886,1.088107978740831,0.030824355267184,nan,nan
7,1,resolved,106,0.9999985697102,2.895204819409182,0.10809059027361693,nan,nan
7,9,averaged,4,3.9995920751980876,nan,-0.005620262816813665,0.5925683629607703,0.01091128429774404
7,9,resolved,106,8.998666670341178,1.9267209269223435,0.3854541907058905,1.1535451563479329,1.9874385053317498
