Six line panels, point sensors on the top row and open paths on the bottom, comparing pooled total-flux error statistics (percent, 96 inversions per point, 8 seeds) with quadratic-form predictions pooled the same way. Columns show sample SD by CV, sample SD by correlation length L, and mean absolute error by L (the statistic behind the published 10.4, 11.8 and 19.0 percent). A grey band shows where the perfect-transport statistic falls in 95 percent of 200 replays of the study's shared 8-seed design under the generator. Predicted SD exceeds empirical total-error SD in 36 of 36 predictor-by-point comparisons. The empirical perfect-transport SD sits between percentiles 3 and 30 of the band, except at L = 500 m (percentiles 55 to 64).

geometry,pooled_by,statistic,value,series,percent
open_path,L_m,sd,500,"Predicted, exact lognormal",32.19
open_path,L_m,sd,100,"Predicted, generator Monte Carlo",17.14
open_path,L_m,sd,250,"Predicted, generator Monte Carlo",23.3
open_path,L_m,sd,500,"Predicted, generator Monte Carlo",24.55
open_path,L_m,mae,100,null q025,6.334
open_path,L_m,mae,250,null q025,8.99
open_path,L_m,mae,500,null q025,9.128
open_path,L_m,mae,100,null median,11.35
open_path,L_m,mae,250,null median,15.88
open_path,L_m,mae,500,null median,16.3
open_path,L_m,mae,100,null q975,18.25
open_path,L_m,mae,250,null q975,25.41
open_path,L_m,mae,500,null q975,28.93
open_path,L_m,mae,100,"Empirical, total error",7.841
open_path,L_m,mae,250,"Empirical, total error",9.041
open_path,L_m,mae,500,"Empirical, total error",16.37
open_path,L_m,mae,100,"Empirical, perfect transport",8.741
open_path,L_m,mae,250,"Empirical, perfect transport",10.6
open_path,L_m,mae,500,"Empirical, perfect transport",17.64
open_path,L_m,mae,100,"Predicted, log-linear (as specified)",11.47
open_path,L_m,mae,250,"Predicted, log-linear (as specified)",16.69
open_path,L_m,mae,500,"Predicted, log-linear (as specified)",17.73
open_path,L_m,mae,100,"Predicted, exact lognormal",13.05
open_path,L_m,mae,250,"Predicted, exact lognormal",19.94
open_path,L_m,mae,500,"Predicted, exact lognormal",22.89
open_path,L_m,mae,100,"Predicted, generator Monte Carlo",11.79
open_path,L_m,mae,250,"Predicted, generator Monte Carlo",16.35
open_path,L_m,mae,500,"Predicted, generator Monte Carlo",17.22
