Six line panels, point sensors on the top row and open paths on the bottom, comparing pooled total-flux error statistics (percent, 240 inversions per point, 20 seeds) with quadratic-form predictions pooled the same way. Columns show sample SD by CV, sample SD by correlation length L, and mean absolute error by L (the statistic behind the published 10.4, 11.8 and 19.0 percent). A grey band shows where the perfect-transport statistic falls in 95 percent of 200 replays of the study's shared 20-seed design under the generator. Predicted SD exceeds empirical total-error SD in 36 of 36 predictor-by-point comparisons. The empirical perfect-transport SD sits between percentiles 16 and 60 of the band, except at L = 500 m (percentiles 26 to 42).

geometry,pooled_by,statistic,value,series,percent
open_path,L_m,sd,500,"Predicted, exact lognormal",32.19
open_path,L_m,sd,100,"Predicted, generator Monte Carlo",17.14
open_path,L_m,sd,250,"Predicted, generator Monte Carlo",23.3
open_path,L_m,sd,500,"Predicted, generator Monte Carlo",24.55
open_path,L_m,mae,100,null q025,7.938
open_path,L_m,mae,250,null q025,11.61
open_path,L_m,mae,500,null q025,11.78
open_path,L_m,mae,100,null median,11.6
open_path,L_m,mae,250,null median,16.47
open_path,L_m,mae,500,null median,16.65
open_path,L_m,mae,100,null q975,16.35
open_path,L_m,mae,250,null q975,23.08
open_path,L_m,mae,500,null q975,25.28
open_path,L_m,mae,100,"Empirical, total error",9.06
open_path,L_m,mae,250,"Empirical, total error",12.54
open_path,L_m,mae,500,"Empirical, total error",14.21
open_path,L_m,mae,100,"Empirical, perfect transport",9.659
open_path,L_m,mae,250,"Empirical, perfect transport",14.55
open_path,L_m,mae,500,"Empirical, perfect transport",16.55
open_path,L_m,mae,100,"Predicted, log-linear (as specified)",11.47
open_path,L_m,mae,250,"Predicted, log-linear (as specified)",16.69
open_path,L_m,mae,500,"Predicted, log-linear (as specified)",17.73
open_path,L_m,mae,100,"Predicted, exact lognormal",13.05
open_path,L_m,mae,250,"Predicted, exact lognormal",19.94
open_path,L_m,mae,500,"Predicted, exact lognormal",22.89
open_path,L_m,mae,100,"Predicted, generator Monte Carlo",11.79
open_path,L_m,mae,250,"Predicted, generator Monte Carlo",16.35
open_path,L_m,mae,500,"Predicted, generator Monte Carlo",17.22
